actual,predicted
4200000.0,4504933.333333333
4000000.0,4465922.222222222
4900000.0,4888015.873015873
40000000.0,36416666.666666664
11000000.0,10780000.0
20000000.0,20840000.0
27500000.0,25966666.666666668
5500000.0,5585119.047619047
6500000.0,6776666.666666667
13500000.0,14536666.666666666
4500000.0,4527333.333333333
38000000.0,44430000.0
18000000.0,20763333.333333332
2000000.0,1669416.6666666667
52000000.0,55510000.0
6500000.0,6656666.666666667
29500000.0,26763333.333333332
13000000.0,14450000.0
11500000.0,10910000.0
8000000.0,7788666.666666667
11000000.0,10840000.0
25500000.0,25713333.333333332
4500000.0,4474000.0
4200000.0,4465922.222222222
475000.0,968455.5555555559
35000000.0,34036666.666666664
30500000.0,36373333.333333336
6000000.0,5484000.0
2600000.0,2292833.3333333335
2800000.0,2524000.0
12500000.0,13748333.333333334
5500000.0,4900787.037037037
12000000.0,11843333.333333334
14500000.0,14046666.666666666
31000000.0,28380000.0
3100000.0,3002066.666666667
43500000.0,42470000.0
26000000.0,25826666.666666668
14000000.0,13720000.0
4100000.0,3889630.158730158
17500000.0,17741111.11111111
3500000.0,3165333.3333333335
3000000.0,3002066.666666667
11000000.0,11073333.333333334
4600000.0,4118266.6666666665
11500000.0,10906666.666666666
9500000.0,9323333.333333334
22000000.0,22313333.333333332
29000000.0,26800000.0
1400000.0,1865888.8888888892
17500000.0,16189666.666666666
8500000.0,9238333.333333334
10500000.0,10280000.0
25500000.0,30316666.666666668
24500000.0,22922222.22222222
31500000.0,31880000.0
47000000.0,52653333.333333336
22500000.0,22019166.66666667
17500000.0,16156833.333333334
6500000.0,6553333.333333333
9500000.0,9338888.888888888
3900000.0,4841960.317460317
48000000.0,50570000.0
10000000.0,9553333.333333334
5000000.0,6200000.0
13500000.0,15740000.0
525000.0,1150400.0
10500000.0,9586666.666666666
4300000.0,3027333.3333333335
20000000.0,17819055.555555556
6500000.0,6060833.333333333
6500000.0,6206222.222222224
4500000.0,5120666.666666667
34500000.0,35713333.333333336
7500000.0,8235000.0
12500000.0,12303333.333333334
2900000.0,2782103.1746031744
